"id","code","name","municipality_id","department_id","postal_code"
5440,"05440000","MARINILLA ANTIOQUIA","5440","5","054020"
5467,"05467000","MONTEBELLO ANTIOQUIA","5467","5","055040"
5475,"05475000","MURINDO ANTIOQUIA","5475","5","056810"
5480,"05480000","MUTATA ANTIOQUIA","5480","5","057420"
5483,"05483000","NARINO ANTIOQUIA","5483","5","054840"
5490,"05490000","NECOCLI ANTIOQUIA","5490","5","057870"
5495,"05495000","NECHI ANTIOQUIA","5495","5","052420"
5501,"05501000","OLAYA ANTIOQUIA","5501","5","051450"
5541,"05541000","PENOL ANTIOQUIA","5541","5","053850"
5543,"05543000","PEQUE ANTIOQUIA","5543","5","057010"
5576,"05576000","PUEBLORRICO ANTIOQUIA","5576","5","056440"
5579,"05579000","PUERTO BERRIO ANTIOQUIA","5579","5","053420"
5585,"05585000","PUERTO NARE ANTIOQUIA","5585","5","053430"
5591,"05591000","PUERTO TRIUNFO ANTIOQUIA","5591","5","053440"
5604,"05604000","REMEDIOS ANTIOQUIA","5604","5","052820"
5607,"05607000","RETIRO ANTIOQUIA","5607","5","055430"
5615,"05615000","RIONEGRO ANTIOQUIA","5615","5","054040"
5628,"05628000","SABANALARGA ANTIOQUIA","5628","5","057020"
5631,"05631000","SABANETA ANTIOQUIA","5631","5","055450"
5642,"05642000","SALGAR ANTIOQUIA","5642","5","056470"
5647,"05647000","SAN ANDRES ANTIOQUIA","5647","5","051037"
5649,"05649000","SAN CARLOS ANTIOQUIA","5649","5","054420"
5652,"05652000","SAN FRANCISCO ANTIOQUIA","5652","5","054810"
5656,"05656000","SAN JERONIMO ANTIOQUIA","5656","5","051070"
5658,"05658000","SAN JOSE DE LA MONTANA ANTIOQUIA","5658","5","051410"
5659,"05659000","SAN JUAN DE URABA ANTIOQUIA","5659","5","057810"
5660,"05660000","SAN LUIS ANTIOQUIA","5660","5","054430"
5664,"05664000","SAN PEDRO ANTIOQUIA","5664","5","052038"
5665,"05665000","SAN PEDRO DE URABA ANTIOQUIA","5665","5","057830"
5667,"05667000","SAN RAFAEL ANTIOQUIA","5667","5","053830"
5670,"05670000","SAN ROQUE ANTIOQUIA","5670","5","053030"
5674,"05674000","SAN VICENTE ANTIOQUIA","5674","5","054010"
5679,"05679000","SANTA BARBARA ANTIOQUIA","5679","5","055050"
5686,"05686000","SANTA ROSA DE OSOS ANTIOQUIA","5686","5","051860"
5690,"05690000","SANTO DOMINGO ANTIOQUIA","5690","5","053040"
5697,"05697000","EL SANTUARIO ANTIOQUIA","5697","5","054450"
5736,"05736000","SEGOVIA ANTIOQUIA","5736","5","052810"
5756,"05756000","SONSON ANTIOQUIA","5756","5","054820"
